unidade,pib2010,capita2010,pib2011,capita2011,pib2012,capita2012,pib2013,capita2013
           Brasil,3885847000,19877.68,4373658000,22157,4805913000,24120.62,5316453957,26444.63
       Norte,207111154,13041.58,241090374,14979.04,258770937,15857.85,292341723,17213.3
   Rondônia,23909993,15322,27581301,17495.77,30088975,18923.75,31091764,17990.69
Alta Floresta D'Oeste,261950,10725.97,279753,11546.7,327279,13597.55,340407,13231.01
Alto Alegre dos Parecis,119903,9348.46,135583,10571.8,170417,13279.6,182830,13222.71
Alto Paraíso,152091,8871.4,176397,10112.17,206316,11628.7,213812,10987.82
Alvorada D'Oeste,160503,9517.48,174643,10504.81,185311,11296.69,191275,10993.43
Ariquemes,1361647,15070.14,1645742,17972.51,1701129,18341.6,1778919,17566.27
Buritis,335693,10365.69,462805,14067.44,404232,12103.85,426171,11658.34
Cabixi,69197,10968,80190,12890.23,99926,16295.81,96308,14828.03
Cacaulândia,76800,13410.23,84287,14623.08,91169,15743.26,98910,15780.23
Cacoal,1184417,15068.72,1253053,15869.67,1377607,17365.53,1415053,16480.36
Campo Novo de Rondônia,117849,9302.16,150963,11832.81,153432,11943.05,179620,12886.18
Candeias do Jamari,280776,14193.49,285928,14090.66,277025,13326.82,327835,14270.46
Castanheiras,39920,11147.66,44588,12641.77,46913,13484.69,53276,14441.8
Cerejeiras,221801,13024.11,256080,15117.78,349230,20723.35,341314,18918.8
Chupinguaia,165552,19936.42,181563,21322.7,240610,27589.73,225640,23416.35
Colorado do Oeste,192355,10340.54,206230,11246.04,223324,12343.12,242168,12619.5
Corumbiara,114790,13041.36,145412,16800.89,176228,20659.82,168680,18667.54
Costa Marques,107872,7873.85,120227,8573.58,134884,9396.3,149648,9439.74
Cujubim,210029,13231.83,218826,13206.18,222376,12882.4,249192,12838.31
Espigão D'Oeste,311430,10835.74,345001,11911.78,377814,12943.73,421711,13303.62
Governador Jorge Teixeira,110955,10554.12,117788,11466.91,119153,11867.82,140576,13344.93
Guajará-Mirim,597836,14355.17,692683,16518.4,506079,11991.83,767600,16774.11
Itapuã do Oeste,90198,10535.93,117970,13559.72,130338,14760.83,293061,30334.43
Jaru,796280,15300.42,861619,16606.97,1010661,19524.02,1063162,19122.65
Ji-Paraná,1853196,15895.39,2039229,17375.4,2324351,19682.54,2322850,18143.58
Machadinho D'Oeste,271683,8733.83,301499,9487.07,354832,10950.58,397088,11143.82
Ministro Andreazza,99774,9636.31,115459,11234.74,125253,12276.11,144543,13262.01
Mirante da Serra,114998,9688.9,119817,10170.33,130347,11154.11,134213,10763.76
Monte Negro,148374,10530.47,176616,12434.25,179495,12540.67,205034,13193.12
Nova Brasilândia D'Oeste,173490,8742.24,188238,9467.28,215271,10822.55,229122,10693.14
Nova Mamoré,218127,9672.18,248921,10755.79,278832,11755.66,307892,11739.5
Nova União,70690,9427.82,76040,10224.51,84496,11446.16,86797,11010.63
Novo Horizonte do Oeste,95622,9340.79,100798,9995.85,104558,10526.36,113211,10766.65
Ouro Preto do Oeste,477537,12586.3,506958,13446.46,529149,14117.41,553230,13796.6
Parecis,49965,10387.83,56019,11427.69,61674,12359.43,71151,12990.92
Pimenta Bueno,540134,16002.07,597120,17572.18,689305,20193.49,767795,20785.48
Pimenteiras do Oeste,43796,18861.54,53253,23163.59,80852,35414.75,77851,31906.26
