jg_rod,CHAVE_1,CHAVE_2,arbitro_principal,arbitro_principal_quadro_fifa,aux1_quadro_fifa,aux2_quadro_fifa,auxiliares,cidade,clubem,clubev,estado_m,estado_v,clássico,data,estadio,hora,id_clubem,id_clubev,id_periodo,ingresso,ingresso_vendido,observacoes,pagante,placarm_tn,placarv_tn,quarto_arbitro,quarto_arbitro_quadro_fifa,renda_bruta,renda_liq,renda_liq_sort,valor_renda_liq,ano,rodada,vitoria_m,empate_m,derrota_m,vitoria_v,empate_v,derrota_v,mandante_posicao_final_rodada,Visitante_posicao_final_rodada,CHAVE_1A,CHAVE_2B,mandante_posicao_inicio_rodada,Visitante_posicao_inicio_rodada,man_gf_ini_rod,vis_gf_ini_rod,man_gt_ini_rod,vis_gt_ini_rod,man_saldo_ini_rod,vis_saldo_ini_rod,man_mean_gf_ini_r,vis_mean_gf_ini_r,man_mean_gt_ini_r,vis_mean_gt_ini_r,man_mean_saldo_ini_r,vis_mean_saldo_ini_r,gs_partida,jg_fds,resultado_time_mandante,fator_resultado
0,20161Flamengo-RJ,20161Sport-PE,Marcelo Aparecido Ribeiro de Souza-SP,N,N,N,Rogério Pablos Zanardo-SP_e_Miguel Cataneo Ribeiro da Costa-SP,Volta Redonda,Flamengo-RJ,Sport-PE,RJ,PE,0,14/05,Raulino de Oliveira,16h00,10,19,5,13628,57.7,,7863,1,0,Leandro Newley Ferreira Belota-RJ,N,136920,1977.18,1977.18,1977.18,2016,1,1,0,0,0,0,1,3,14,20160Flamengo-RJ,20160Sport-PE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Vitoria,1
1,20161Palmeiras-SP,20161Atlético Paranaense-PR,Bruno Arleu de Araújo-RJ,N,N,N,Luiz Cláudio Regazone-RJ_e_Thiago Henrique Neto Corrêa Farinha-RJ,São Paulo,Palmeiras-SP,Atlético Paranaense-PR,SP,PR,0,14/05,Allianz Parque,16h00,1,25,5,33629,100,,33629,4,0,Flávio Rodrigues de Souza-SP,N,2078159.34,1523697.18,1523697.18,1523697.18,2016,1,1,0,0,0,0,1,1,20,20160Palmeiras-SP,20160Atlético Paranaense-PR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,Vitoria,1
2,20161Atlético Mineiro-MG,20161Santos-SP,Jaílson Macedo Freitas-BA,N,S,N,Eduardo Gonçalves da Cruz-MS_e_Elicarlos Franco de Oliveira-BA,Belo Horizonte,Atlético Mineiro-MG,Santos-SP,MG,SP,0,14/05,Independência,18h30,4,17,5,7507,65.1,,4889,1,0,Igor Junio Benevenuto-MG,N,87565,-99265.48,-99265.48,-99265.48,2016,1,1,0,0,0,0,1,3,14,20160Atlético Mineiro-MG,20160Santos-SP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Vitoria,1
3,20161Coritiba-PR,20161Cruzeiro-MG,Jean Pierre Gonçalves Lima-RS,N,S,N,Fabrício Vilarinho da Silva-GO_e_Rafael da Silva Alves-RS,Curitiba,Coritiba-PR,Cruzeiro-MG,PR,MG,0,14/05,Couto Pereira,21h00,7,8,5,6028,100,,6028,1,0,Rodolpho Toski Marques-PR,N,143630,-88624.08,-88624.08,-88624.08,2016,1,1,0,0,0,0,1,3,14,20160Coritiba-PR,20160Cruzeiro-MG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Vitoria,1
4,20161Botafogo-RJ,20161São Paulo-SP,Bráulio da Silva Machado-SC,N,S,N,Neuza Inês Back-SC_e_Helton Nunes-SC,Volta Redonda,Botafogo-RJ,São Paulo-SP,RJ,SP,0,15/05,Raulino de Oliveira,11h00,6,18,5,10255,35.7,,3660,0,1,João Ennio Sobral-RJ,N,148790,13147.75,13147.75,13147.75,2016,1,0,0,1,1,0,0,14,3,20160Botafogo-RJ,20160São Paulo-SP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,derrota,-1
5,20161Santa Cruz-PE,20161Vitória-BA,Pablo dos Santos Alves-PB,N,N,N,Fábio Pereira-TO_e_Esdras Mariano de Lima-AL,Recife,Santa Cruz-PE,Vitória-BA,PE,BA,0,15/05,Arruda,11h00,55,40,5,17877,94.8,,16949,4,1,Sebastião Rufino Ribeiro Filho-PE,N,250150,194548.26,194548.26,194548.26,2016,1,1,0,0,0,0,1,2,19,20160Santa Cruz-PE,20160Vitória-BA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,Vitoria,1
6,20161Corinthians-SP,20161Grêmio-RS,Wilton Pereira Sampaio-GO,S,S,S,Alessandro Álvaro Rocha Mattos-BA_e_Guilherme Dias Camilo-MG,São Paulo,Corinthians-SP,Grêmio-RS,SP,RS,0,15/05,Arena Corinthians,16h00,2,12,5,31533,100,,31533,0,0,Vinícius Furlan-SP,N,1627511,980187.25,980187.25,980187.25,2016,1,0,1,0,0,1,0,8,8,20160Corinthians-SP,20160Grêmio-RS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,empate,0
7,20161Figueirense-SC,20161Ponte Preta-SP,Emerson de Almeida Ferreira-MG,N,N,N,Pablo Almeida Costa-MG_e_Rafael Trombeta-PR,Florianópolis,Figueirense-SC,Ponte Preta-SP,SC,SP,0,15/05,Orlando Scarpelli,16h00,9,15,5,5458,100,,5458,0,0,Rodrigo D'Alonso Ferreira-SC,N,62150,12375.06,12375.06,12375.06,2016,1,0,1,0,0,1,0,8,8,20160Figueirense-SC,20160Ponte Preta-SP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,empate,0
8,20161América Mineiro-MG,20161Fluminense-RJ,Thiago Duarte Peixoto-SP,N,N,N,Danilo Ricardo Simon Manis-SP_e_Anderson José de Moraes Coelho-SP,Belo Horizonte,América Mineiro-MG,Fluminense-RJ,MG,RJ,0,15/05,Independência,16h00,22,11,5,3537,58.8,,2078,0,1,Cleisson Veloso Pereira-MG,N,86500,2760.61,2760.61,2760.61,2016,1,0,0,1,1,0,0,14,3,20160América Mineiro-MG,20160Fluminense-RJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,derrota,-1
9,20161Internacional-RS,20161Chapecoense-SC,Nielson Nogueira Dias-PE,N,S,N,Bruno Boschilla-PR_e_Clóvis Amaral da Silva-PE,Porto Alegre,Internacional-RS,Chapecoense-SC,RS,SC,0,15/05,Beira-Rio,18h30,13,44,5,10314,100,,10314,0,0,Luís Teixeira Rocha-RS,N,350215,177783.46,177783.46,177783.46,2016,1,0,1,0,0,1,0,8,8,20160Internacional-RS,20160Chapecoense-SC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,empate,0
0,20162Ponte Preta-SP,20162Palmeiras-SP,Leandro Pedro Vuaden-RS,S,N,N,Daniel Paulo Ziolli-SP_e_Ricardo Pavanelli Lanutto-SP,Campinas,Ponte Preta-SP,Palmeiras-SP,SP,SP,1,21/05,Moisés Lucarelli,16h00,15,1,5,7632,88,,6716,2,1,Antônio Rogério Batista do Prado-SP,N,233200,112806.61,112806.61,112806.61,2016,2,1,0,0,0,0,1,3,8,20161Ponte Preta-SP,20161Palmeiras-SP,8,1,0,4,0,0,0,4,0,4,0,0,0,4,3,1,Vitoria,1
1,20162Fluminense-RJ,20162Santa Cruz-PE,Jaílson Macedo Freitas-BA,N,N,N,Elicarlos Franco de Oliveira-BA_e_Sidmar dos Santos Meurer-MG,Volta Redonda,Fluminense-RJ,Santa Cruz-PE,RJ,PE,0,21/05,Raulino de Oliveira,18h30,11,55,5,13550,17.2,,2325,2,2,Vinícius Gonçalves Dias Araujo-SP,N,59980,-53637.91,-53637.91,-53637.91,2016,2,0,1,0,0,1,0,3,1,20161Fluminense-RJ,20161Santa Cruz-PE,3,2,1,4,0,1,1,3,1,4,0,1,1,3,4,1,empate,0
2,20162Cruzeiro-MG,20162Figueirense-SC,Wagner Reway-MT,N,N,N,Fábio Rogério Baesteiro-MT_e_Fábio Pereira-TO,Belo Horizonte,Cruzeiro-MG,Figueirense-SC,MG,SC,0,21/05,Mineirão,21h00,8,9,5,12653,100,,12647,2,2,Leonardo Garcia Cavaleiro-RJ,N,300811,10939.25,10939.25,10939.25,2016,2,0,1,0,0,1,0,15,13,20161Cruzeiro-MG,20161Figueirense-SC,14,8,0,0,1,0,-1,0,0,0,1,0,-1,0,4,1,empate,0
3,20162Santos-SP,20162Coritiba-PR,Ricardo Marques Ribeiro-MG,S,N,N,Pablo Almeida Costa-MG_e_Celso Luiz da Silva-MG,Santos,Santos-SP,Coritiba-PR,SP,PR,0,22/05,Vila Belmiro,11h00,17,7,5,8100,92.2,,7472,2,1,João Batista de Arruda-RJ,N,212190,60662.79,60662.79,60662.79,2016,2,1,0,0,0,0,1,9,9,20161Santos-SP,20161Coritiba-PR,14,3,0,1,1,0,-1,1,0,1,1,0,-1,1,3,1,Vitoria,1
4,20162Atlético Paranaense-PR,20162Atlético Mineiro-MG,Flávio Rodrigues de Souza-SP,N,S,N,Alessandro Álvaro Rocha Mattos-BA_e_Carlos Berkenbrock-SC,Curitiba,Atlético Paranaense-PR,Atlético Mineiro-MG,PR,MG,0,22/05,Arena da Baixada,11h00,25,4,5,11804,100,,11804,1,1,Ronan Marques da Rosa-SC,N,213880,8461.24,8461.24,8461.24,2016,2,0,1,0,0,1,0,19,3,20161Atlético Paranaense-PR,20161Atlético Mineiro-MG,20,3,0,1,4,0,-4,1,0,1,4,0,-4,1,2,1,empate,0
5,20162Vitória-BA,20162Corinthians-SP,Heber Roberto Lopes-SC,S,S,S,Kléber Lúcio Gil-SC_e_Bruno Boschilla-PR,Salvador,Vitória-BA,Corinthians-SP,BA,SP,0,22/05,Manoel Barradas (Barradão),16h00,40,2,5,16028,77.5,,12417,3,2,José Ricardo Laranjeira-AL,N,314847,172374.78,172374.78,172374.78,2016,2,1,0,0,0,0,1,14,15,20161Vitória-BA,20161Corinthians-SP,19,8,1,0,4,0,-3,0,1,0,4,0,-3,0,5,1,Vitoria,1
6,20162São Paulo-SP,20162Internacional-RS,Péricles Bassols Pegado Cortez-PE,S,S,S,Emerson Augusto de Carvalho-SP_e_Guilherme Dias Camilo-MG,São Paulo,São Paulo-SP,Internacional-RS,SP,RS,0,22/05,Morumbi,16h00,18,13,5,23861,81.8,,19509,1,2,Adriano Milczvski-PR,N,615680,360443.43,360443.43,360443.43,2016,2,0,0,1,1,0,0,9,3,20161São Paulo-SP,20161Internacional-RS,3,8,1,0,0,0,1,0,1,0,0,0,1,0,3,1,derrota,-1
7,20162Grêmio-RS,20162Flamengo-RJ,Luiz Flávio de Oliveira-SP,S,N,N,Danilo Ricardo Simon Manis-SP_e_Anderson José de Moraes Coelho-SP,Porto Alegre,Grêmio-RS,Flamengo-RJ,RS,RJ,0,22/05,Arena do Grêmio,16h00,12,10,5,15976,100,,15976,1,0,Bráulio da Silva Machado-SC,N,522592,397765.55,397765.55,397765.55,2016,2,1,0,0,0,0,1,3,9,20161Grêmio-RS,20161Flamengo-RJ,8,3,0,1,0,0,0,1,0,1,0,0,0,1,1,1,Vitoria,1
8,20162Chapecoense-SC,20162América Mineiro-MG,Eduardo Tomaz de Aquino Valadão-GO,N,S,N,Bruno Pires-GO_e_Rafael Trombeta-PR,Chapecó,Chapecoense-SC,América Mineiro-MG,SC,MG,0,22/05,Arena Condá,16h00,44,22,5,2057,100,,2057,3,1,Edivaldo Elias da Silva-PR,N,21450,-10850.91,-10850.91,-10850.91,2016,2,1,0,0,0,0,1,2,20,20161Chapecoense-SC,20161América Mineiro-MG,8,14,0,0,0,1,0,-1,0,0,0,1,0,-1,4,1,Vitoria,1
9,20162Sport-PE,20162Botafogo-RJ,Vinícius Furlan-SP,N,S,N,Márcia B. Lopes Caetano-SP_e_Alex Ang Ribeiro-SP,Recife,Sport-PE,Botafogo-RJ,PE,RJ,0,22/05,Ilha do Retiro,18h30,19,6,5,5740,90.9,,5218,1,1,Eduardo de Santana Nunes-SE,N,131910,63263.1,63263.1,63263.1,2016,2,0,1,0,0,1,0,15,15,20161Sport-PE,20161Botafogo-RJ,14,14,0,0,1,1,-1,-1,0,0,1,1,-1,-1,2,1,empate,0
0,20163Botafogo-RJ,20163Atlético Paranaense-PR,Dewson Fernando Freitas da Silva-PA,S,N,N,Márcio Gleidson Correia Dias-PA_e_Hélcio Araújo Neves-PA,Juiz de Fora,Botafogo-RJ,Atlético Paranaense-PR,RJ,PR,0,25/05,Mário Helênio,19h30,6,25,5,11061,39.6,,4384,2,1,Renato Cardoso Conceição-MG,N,115520,-72313.45,-72313.45,-72313.45,2016,3,1,0,0,0,0,1,7,20,20162Botafogo-RJ,20162Atlético Paranaense-PR,15,19,1,1,2,5,-1,-4,0.5,0.5,1,2.5,-0.5,-2,3,0,Vitoria,1
1,20163Figueirense-SC,20163Santos-SP,Wagner do Nascimento Magalhães-RJ,N,S,N,Rodrigo F. Henrique Correa-RJ_e_Luiz Cláudio Regazone-RJ,Florianópolis,Figueirense-SC,Santos-SP,SC,SP,0,25/05,Orlando Scarpelli,19h30,9,17,5,5849,100,,5849,2,2,Francisco de Paula dos Santos Silva Neto-RS,N,86670,31198.18,31198.18,31198.18,2016,3,0,1,0,0,1,0,16,7,20162Figueirense-SC,20162Santos-SP,13,9,2,2,2,2,0,0,1,1,1,1,0,0,4,0,empate,0
2,20163Flamengo-RJ,20163Chapecoense-SC,Diego Almeida Real-RS,N,N,N,Rafael da Silva Alves-RS_e_Lúcio Beiersdorf Flor-RS,Volta Redonda,Flamengo-RJ,Chapecoense-SC,RJ,SC,0,25/05,Raulino de Oliveira,21h00,10,44,5,12958,17.4,,2252,2,2,Aurélio Santanna Martins-SP,N,34270,-57662.56,-57662.56,-57662.56,2016,3,0,1,0,0,1,0,7,5,20162Flamengo-RJ,20162Chapecoense-SC,9,2,1,3,1,1,0,2,0.5,1.5,0.5,0.5,0,1,4,0,empate,0
3,20163América Mineiro-MG,20163Vitória-BA,Gilberto Rodrigues Castro Júnior-PE,N,N,N,Clóvis Amaral da Silva-PE_e_Cléberson Nascimento-PE,Belo Horizonte,América Mineiro-MG,Vitória-BA,MG,BA,0,25/05,Independência,21h00,22,40,5,2999,43.9,,1318,1,1,Devarly do Rosário-ES,N,21825,-59144.31,-59144.31,-59144.31,2016,3,0,1,0,0,1,0,18,13,20162América Mineiro-MG,20162Vitória-BA,20,14,1,4,4,6,-3,-2,0.5,2,2,3,-1.5,-1,2,0,empate,0
4,20163Palmeiras-SP,20163Fluminense-RJ,Sandro Meira Ricci-SC,S,S,N,Nadine Schramm Camara Bastos-SC_e_Helton Nunes-SC,São Paulo,Palmeiras-SP,Fluminense-RJ,SP,RJ,0,25/05,Allianz Parque,21h45,1,11,5,28534,100,,28534,2,0,Emerson de Almeida Ferreira-MG,N,1567292.04,1056679.33,1056679.33,1056679.33,2016,3,1,0,0,0,0,1,4,12,20162Palmeiras-SP,20162Fluminense-RJ,8,3,5,3,2,2,3,1,2.5,1.5,1,1,1.5,0.5,2,0,Vitoria,1
5,20163Coritiba-PR,20163São Paulo-SP,Marielson Alves Silva-BA,N,N,N,Cristhian Passos Sorence-GO_e_Leone Carvalho-GO,Curitiba,Coritiba-PR,São Paulo-SP,PR,SP,0,25/05,Couto Pereira,21h45,7,18,5,9979,100,,9979,1,1,Rodrigo D'Alonso Ferreira-SC,N,264030,34346.27,34346.27,34346.27,2016,3,0,1,0,0,1,0,7,7,20162Coritiba-PR,20162São Paulo-SP,9,9,2,2,2,2,0,0,1,1,1,1,0,0,2,0,empate,0
6,20163Santa Cruz-PE,20163Cruzeiro-MG,Anderson Daronco-RS,S,N,N,Dibert Pedrosa Moisés-RJ_e_Elio Nepomuceno de Andrade Júnior-RS,Recife,Santa Cruz-PE,Cruzeiro-MG,PE,MG,0,25/05,Arruda,21h45,55,8,5,18625,76.8,,14311,4,1,Pablo Ramon Gonçalves Pinheiro-RN,N,257225,202340.31,202340.31,202340.31,2016,3,1,0,0,0,0,1,1,19,20162Santa Cruz-PE,20162Cruzeiro-MG,1,15,6,2,3,3,3,-1,3,1,1.5,1.5,1.5,-0.5,5,0,Vitoria,1
7,20163Corinthians-SP,20163Ponte Preta-SP,Elmo Alves Resende Cunha-GO,N,N,N,Fábio Rogério Baesteiro-SP_e_Bruno Salgado Rizo-SP,São Paulo,Corinthians-SP,Ponte Preta-SP,SP,SP,1,26/05,Arena Corinthians,11h00,2,15,5,35573,100,,35573,3,0,Márcio Henrique de Gois-SP,N,2059840,1289567,1289567,1289567,2016,3,1,0,0,0,0,1,6,13,20162Corinthians-SP,20162Ponte Preta-SP,15,3,2,2,3,1,-1,1,1,1,1.5,0.5,-0.5,0.5,3,0,Vitoria,1
