arbitro_principal	arbitro_principal_quadro_fifa	aux1_quadro_fifa	aux2_quadro_fifa	auxiliares	cidade	clubem	clubev	estado_m	estado_v	clássico	data	estadio	hora	ingressos_disponiveis	porcentagem_ingresso_vendido	observacoes	Publico_pagante	placar_mandante	placar_visitante	quarto_arbitro	quarto_arbitro_quadro_fifa	renda_bruta	renda_liq	ano	rodada	vitoria_mandante	empate_mandante	derrota_mandante	vitoria_visitante	empate_vvisitante	derrota_visitante	mandante_posicao_final_rodada	Visitante_posicao_final_rodada	mandante_posicao_inicio_rodada	Visitante_posicao_inicio_rodada	final de semana
Marcelo Aparecido Ribeiro de Souza-SP	N	N	N	Rogério Pablos Zanardo-SP_e_Miguel Cataneo Ribeiro da Costa-SP	Volta Redonda	Flamengo-RJ	Sport-PE	RJ	PE	0	14/05	Raulino de Oliveira	16h00	13628	57.7		7863	1	0	Leandro Newley Ferreira Belota-RJ	N	136920	1977.18	2016	1	1	0	0	0	0	1	3	14	0	0	1
Bruno Arleu de Araújo-RJ	N	N	N	Luiz Cláudio Regazone-RJ_e_Thiago Henrique Neto Corrêa Farinha-RJ	São Paulo	Palmeiras-SP	Atlético Paranaense-PR	SP	PR	0	14/05	Allianz Parque	16h00	33629	100		33629	4	0	Flávio Rodrigues de Souza-SP	N	2078159.34	1523697.18	2016	1	1	0	0	0	0	1	1	20	0	0	1
Jaílson Macedo Freitas-BA	N	S	N	Eduardo Gonçalves da Cruz-MS_e_Elicarlos Franco de Oliveira-BA	Belo Horizonte	Atlético Mineiro-MG	Santos-SP	MG	SP	0	14/05	Independência	18h30	7507	65.1		4889	1	0	Igor Junio Benevenuto-MG	N	87565	-99265.48	2016	1	1	0	0	0	0	1	3	14	0	0	1
Jean Pierre Gonçalves Lima-RS	N	S	N	Fabrício Vilarinho da Silva-GO_e_Rafael da Silva Alves-RS	Curitiba	Coritiba-PR	Cruzeiro-MG	PR	MG	0	14/05	Couto Pereira	21h00	6028	100		6028	1	0	Rodolpho Toski Marques-PR	N	143630	-88624.08	2016	1	1	0	0	0	0	1	3	14	0	0	1
Bráulio da Silva Machado-SC	N	S	N	Neuza Inês Back-SC_e_Helton Nunes-SC	Volta Redonda	Botafogo-RJ	São Paulo-SP	RJ	SP	0	15/05	Raulino de Oliveira	11h00	10255	35.7		3660	0	1	João Ennio Sobral-RJ	N	148790	13147.75	2016	1	0	0	1	1	0	0	14	3	0	0	1
Pablo dos Santos Alves-PB	N	N	N	Fábio Pereira-TO_e_Esdras Mariano de Lima-AL	Recife	Santa Cruz-PE	Vitória-BA	PE	BA	0	15/05	Arruda	11h00	17877	94.8		16949	4	1	Sebastião Rufino Ribeiro Filho-PE	N	250150	194548.26	2016	1	1	0	0	0	0	1	2	19	0	0	1
Wilton Pereira Sampaio-GO	S	S	S	Alessandro Álvaro Rocha Mattos-BA_e_Guilherme Dias Camilo-MG	São Paulo	Corinthians-SP	Grêmio-RS	SP	RS	0	15/05	Arena Corinthians	16h00	31533	100		31533	0	0	Vinícius Furlan-SP	N	1627511	980187.25	2016	1	0	1	0	0	1	0	8	8	0	0	1
Emerson de Almeida Ferreira-MG	N	N	N	Pablo Almeida Costa-MG_e_Rafael Trombeta-PR	Florianópolis	Figueirense-SC	Ponte Preta-SP	SC	SP	0	15/05	Orlando Scarpelli	16h00	5458	100		5458	0	0	Rodrigo D'Alonso Ferreira-SC	N	62150	12375.06	2016	1	0	1	0	0	1	0	8	8	0	0	1
Thiago Duarte Peixoto-SP	N	N	N	Danilo Ricardo Simon Manis-SP_e_Anderson José de Moraes Coelho-SP	Belo Horizonte	América Mineiro-MG	Fluminense-RJ	MG	RJ	0	15/05	Independência	16h00	3537	58.8		2078	0	1	Cleisson Veloso Pereira-MG	N	86500	2760.61	2016	1	0	0	1	1	0	0	14	3	0	0	1
Nielson Nogueira Dias-PE	N	S	N	Bruno Boschilla-PR_e_Clóvis Amaral da Silva-PE	Porto Alegre	Internacional-RS	Chapecoense-SC	RS	SC	0	15/05	Beira-Rio	18h30	10314	100		10314	0	0	Luís Teixeira Rocha-RS	N	350215	177783.46	2016	1	0	1	0	0	1	0	8	8	0	0	1
